Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Royalties ,279433.00,NaN,NaN,410315.00,NaN,722627.00,712667.00,1217811.00,974573.00,1139586.00,1227808.00,1278856.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Farm net profit,23349.00,NaN,NaN,30352.00,NaN,19700.00,1918127.00,1746014.00,1696998.00,1587326.00,1856781.00,1743021.00,6501873.00,2558984.00,2452962.00,2234751.00,2796101.00,2561945.00,2594695.00,2534196.00,2532276.00,2967005.00,3245297.00,2857055.00,3510762.00,2758099.00,3080330.00,2892121.00,3434024.00,3545288.00,4677412.00,4916630.00,4916630.00,7466233.00,6766782.00,5889089.00,8614611.00,10839758.00,9566052.00,11103632.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"     Net gain, noncapital assets",359566.00,NaN,NaN,957426.00,NaN,1101631.00,1961662.00,1284962.00,1704228.00,2892749.00,2226999.00,3333255.00,2669190.00,5656928.00,2956310.00,3882967.00,2022921.00,2048877.00,3435093.00,3002209.00,3196462.00,4593655.00,4894940.00,6478634.00,6651584.00,7165980.00,6664457.00,6980473.00,7393459.00,10414041.00,13554033.00,15157978.00,15157978.00,17695771.00,13132365.00,21931795.00,21342803.00,28016551.00,24909006.00,26841902.00,28409855.00,29404062.00,42324714.00,49562115.00,44333012.00,61406192.00,75936595.00,74895264
     Other income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21246375.00,28357553.00,23444922.00,22056675.00,24963762.00,29581000.00,32431451.00,35858494.00,58811418.00,76796751.00,83928106.00,96831086.00,112555413.00,137370907.00,125630111.00,126873441.00,140151368.00,180738118.00,234537262.00,234537262.00,237339181.00,216513485.00,212137140.00,205190886.00,230274565.00,218091214.00,234489152.00,250280540.00,241565677.00,286983731.00,301542993.00,286759719.00,371849840.00,389257218.00,429796091
     Other receipts,1680362.00,NaN,NaN,3900968.00,NaN,5535192.00,6914777.00,8881168.00,8701692.00,11329715.00,11607558.00,13989833.00,18264316.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Total deductions,140679959.00,NaN,NaN,204745300.00,NaN,283749460.00,274864690.00,304004833.00,293928744.00,378692535.00,376000991.00,414673405.00,423498884.00,464991155.00,475433817.00,493468105.00,490432721.00,513276112.00,554772390.00,647522965.00,753845785.00,912722215.00,1156922964.00,1386111725.00,1647491152.00,2099471504.00,2348244173.00,2455848170.00,2567688119.00,2815180739.00,3244612319.00,3555849670.00,3555849670.00,4590182624.00,3748565614.00,4026378206.00,4531982601.00,4689190348.00,5061753548.00,5162594042.00,4915397618.00,4981480470.00,5591329131.00,6055822095.00,5611453035.00,6225702711.00,7111034417.00,8365174008
      Cost of goods sold,64672843.00,NaN,NaN,87217203.00,NaN,113885668.00,130043609.00,144595111.00,125330745.00,180857822.00,146315315.00,164167707.00,237156859.00,252590549.00,232797570.00,242448195.00,236500500.00,248626073.00,272502902.00,335144653.00,395322385.00,486257935.00,625197285.00,737235839.00,902157018.00,1225628897.00,1338114656.00,1430213629.00,1522806503.00,1666146493.00,1975816361.00,2108966781.00,2108966781.00,2717033028.00,2054661677.00,2335999179.00,2731677851.00,2827546739.00,3086677980.00,3065992261.00,2695613646.00,2660228603.00,3011968907.00,3343267462.00,2878254035.00,3255992777.00,3846985340.00,4758754037
"       Inventory, beginning of year",7667585.00,NaN,NaN,NaN,NaN,13255671.00,16141130.00,25307927.00,NaN,41480731.00,25442509.00,24831895.00,28361810.00,37216939.00,41302678.00,42868069.00,43652870.00,42973268.00,46659746.00,46602083.00,54702293.00,60401434.00,70441911.00,87546927.00,95687355.00,112799938.00,128324181.00,175335232.00,142614381.00,154642984.00,183499132.00,215719281.00,215719281.00,278201115.00,270959003.00,249741778.00,250076875.00,262415671.00,267727307.00,292403115.00,291139488.00,299870537.00,329035539.00,334150156.00,317773547.00,384177586.00,364654545.00,417421630
       Purchases,42608734.00,NaN,NaN,NaN,NaN,70439607.00,92136914.00,96111197.00,NaN,100358781.00,91925923.00,100010383.00,167977884.00,173024428.00,137011049.00,140521621.00,134086152.00,150034393.00,163167689.00,210803531.00,256546960.00,321340188.00,427050241.00,461144704.00,585068938.00,797038243.00,887515286.00,903589600.00,987652150.00,1130541265.00,1328185749.00,1412030108.00,1412030108.00,1844775281.00,1389292787.00,1613898628.00,1976008984.00,2029823293.00,2256721854.00,2207221054.00,1884856950.00,1852866663.00,2084429237.00,2367367406.00,1947050485.00,2205968929.00,2767119019.00,3279771433
       Cost of labor,4585836.00,NaN,NaN,NaN,NaN,7015547.00,5835683.00,7183865.00,NaN,7826231.00,8845106.00,9789253.00,9975053.00,11535738.00,13378307.00,13924993.00,14188250.00,14826792.00,16208644.00,18528257.00,20080458.00,22890832.00,28794257.00,33411962.00,42089216.00,46714175.00,53029403.00,58736031.00,63434283.00,67483580.00,80010457.00,91460084.00,91460084.00,113546251.00,100075751.00,105454543.00,113840087.00,127120016.00,137000237.00,148468563.00,154316206.00,157223744.00,167570200.00,180398126.00,182557305.00,202508740.00,212289664.00,258584088
       Materials and supplies,3321427.00,NaN,NaN,NaN,NaN,5603874.00,6161003.00,6549014.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       Additional inventory costs (Section 283A),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1265482.00,1497345.00,2327873.00,2416391.00,2480289.00,2613430.00,3107862.00,3992791.00,4549020.00,5537922.00,7603756.00,7916276.00,8870107.00,8521473.00,10498054.00,12337529.00,13314217.00,17784635.00,21841617.00,19706569.00,19706569.00,16839442.00,14702790.00,14052892.00,12638235.00,15901153.00,15959197.00,16654461.00,16899796.00,14587234.00,17628083.00,22676595.00,21000598.00,24673427.00,23791735.00,31987328
       Other costs,14641288.00,NaN,NaN,NaN,NaN,32260929.00,32435993.00,32147879.00,NaN,70638082.00,47380973.00,57000019.00,61270873.00,65539407.00,76889047.00,83210972.00,81294468.00,81737431.00,89417903.00,103941827.00,117877969.00,142196666.00,171093990.00,242604643.00,281530830.00,386508986.00,394187103.00,418483634.00,467575762.00,480674356.00,588093699.00,626794373.00,626794373.00,744413006.00,530951167.00,606159347.00,644144846.00,666736558.00,696943112.00,703725166.00,649265349.00,659888290.00,761277666.00,802742121.00,742520136.00,821966625.00,900246099.00,1248599863
"       Less:  inventory, end of year",8152127.00,NaN,NaN,NaN,NaN,14689960.00,22667114.00,22704771.00,NaN,39446014.00,27279196.00,27463816.00,31659239.00,41105534.00,44593538.00,45271389.00,42804203.00,46261566.00,48878070.00,50754489.00,60813341.00,69912625.00,84813771.00,99669214.00,115689924.00,129428537.00,138604738.00,142329934.00,153053073.00,186762966.00,228775948.00,259131558.00,259131558.00,284783978.00,251319822.00,253308009.00,265031176.00,274449952.00,287673727.00,302480098.00,305950278.00,324207866.00,347971819.00,364066943.00,332648035.00,383302529.00,421115723.00,477610305
     Salaries and wages,12489039.00,NaN,NaN,16585456.00,NaN,22336337.00,21952655.00,23204883.00,24733780.00,28522626.00,33884204.00,36304654.00,40676362.00,47098641.00,54051875.00,56025118.00,57907843.00,61761245.00,65374814.00,70069247.00,80292538.00,94181234.00,115199593.00,142910961.00,169905010.00,201350844.00,230874139.00,237882426.00,244927745.00,268806663.00,293216548.00,331851279.00,331851279.00,403229369.00,389650325.00,405359065.00,435594782.00,462762450.00,501819254.00,541453609.00,577746711.00,606596550.00,657088598.00,700374995.00,712051408.00,774967319.00,872118799.00,991848964
        Less: jobs credit,NaN,NaN,NaN,NaN,NaN,19815.00,91418.00,15583.00,13480.00,22515.00,16511.00,41169.00,2785107.00,266027.00,281388.00,26244.00,17805.00,11129.00,15225.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Guaranteed payments to partners,2649186.00,NaN,NaN,3500460.00,NaN,4746253.00,5212661.00,5350678.00,5838956.00,7517503.00,7694236.00,7237781.00,7212214.00,8059223.00,9748284.00,8829449.00,9849016.00,9945449.00,10398313.00,10918683.00,12353212.00,13683193.00,15528514.00,18268692.00,21102416.00,24301557.00,26762540.00,28147265.00,28472046.00,32213217.00,36717580.00,41759375.00,41759375.00,51827098.00,48003745.00,50008233.00,53519934.00,57864841.00,61787892.00,67100175.00,67146214.00,70245218.00,73904399.00,68967435.00,68845819.00,74044266.00,81086502.00,81949505
     Rent paid,3626571.00,NaN,NaN,5154353.00,NaN,6631627.00,4985675.00,5693874.00,6224359.00,7533299.00,8537160.00,9479021.00,8983537.00,10578657.00,12018268.00,13034650.00,13692816.00,14022168.00,14949902.00,15637877.00,17331831.00,19344223.00,23466746.00,27757094.00,31042897.00,35932443.00,42276815.00,44598862.00,46442451.00,50402698.00,55895492.00,62379198.00,62379198.00,74626236.00,73739226.00,78353244.00,80604298.00,82531969.00,89139680.00,92197088.00,101279145.00,103980661.00,113482573.00,117875840.00,120623444.00,126012953.00,133725972.00,144656655
     Interest paid,12097100.00,NaN,NaN,16022804.00,NaN,28362386.00,19586018.00,21517044.00,22364264.00,25437588.00,28674933.00,29452297.00,19953845.00,23242437.00,32747005.00,29617935.00,27973593.00,25091279.00,27006200.00,36432301.00,42775881.00,49190487.00,59519342.00,73406067.00,74428567.00,92751748.00,97278387.00,68127690.00,64619863.00,64457049.00,103453348.00,136788830.00,136788830.00,142571532.00,94119640.00,85862393.00,81231081.00,81072973.00,78054746.00,82882319.00,85496044.00,96809736.00,111008159.00,106664500.00,113739451.00,127961963.00,113144946.00,119311133
     Taxes and licenses,5770918.00,NaN,NaN,7364870.00,NaN,9553145.00,5040336.00,5288971.00,5909545.00,6673186.00,7745756.00,7866233.00,6867461.00,7993317.00,8873071.00,9339396.00,9863080.00,10307970.00,10877982.00,11545647.00,13151513.00,14738742.00,17922755.00,23813223.00,26896235.00,31145304.00,34626540.00,36416569.00,39019475.00,42114276.00,46896065.00,52973535.00,52973535.00,63015850.00,61647989.00,63288386.00,68872988.00,73198286.00,78788525.00,83391297.00,87315881.00,89132302.00,95487385.00,99163744.00,92037674.00,104769369.00,139753058.00,161264028
     Bad debts,255093.00,NaN,NaN,263583.00,NaN,392259.00,394458.00,556090.00,635769.00,657156.00,798293.00,1085091.00,1220161.00,1397284.00,1653786.00,3486235.00,2713892.00,2857503.00,2754734.00,2535273.00,3573119.00,5188483.00,5850425.00,7347904.00,8415571.00,9820088.00,12241864.00,14176575.00,12374380.00,12770923.00,15256780.00,12298985.00,12298985.00,32219946.00,40355747.00,32607437.00,14788745.00,24979310.00,14937166.00,15027032.00,17186398.00,19099278.00,20074390.00,21144069.00,23119196.00,27741283.00,20558885.00,24453971
     Repairs and maintenance,2202626.00,NaN,NaN,3352299.00,NaN,4910831.00,1900379.00,1950053.00,1993665.00,2302985.00,2498020.00,2538640.00,2513846.00,2785235.00,3186556.00,3490358.00,3575463.00,3846682.00,4282210.00,4436481.00,5058545.00,5941081.00,7668494.00,8537670.00,9859621.00,11302059.00,12624866.00,13535089.00,14270433.00,15515490.00,17265523.00,19365103.00,19365103.00,22463069.00,21839212.00,23503815.00,24873513.00,27219452.00,28453808.00,30564085.00,32838705.00,34121685.00,36517655.00,38873347.00,37516476.00,39758587.00,43603236.00,49025423
     Depreciation,10108834.00,NaN,NaN,14519760.00,NaN,21576190.00,NaN,NaN,NaN,NaN,22575913.00,25446371.00,19307397.00,19799142.00,19604615.00,19433190.00,19090650.00,19773081.00,20692214.00,21811355.00,24001617.00,28607286.00,37763139.00,42579701.00,51730335.00,58912624.00,72199421.00,82897056.00,83564737.00,90230757.00,70834176.00,78611668.00,78611668.00,129739268.00,125349711.00,130060596.00,172267579.00,136841830.00,157618397.00,167928282.00,176033137.00,187450186.00,226632473.00,260659657.00,275980068.00,277447511.00,255705930.00,271099292
     Amortization,165755.00,NaN,NaN,222728.00,NaN,583353.00,937460.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Depletion,392734.00,NaN,NaN,246530.00,NaN,370594.00,308866.00,465882.00,375404.00,277521.00,242097.00,311118.00,287787.00,314882.00,312229.00,363858.00,305490.00,317556.00,214262.00,291015.00,323910.00,371771.00,382488.00,322489.00,402119.00,410837.00,453832.00,504061.00,492467.00,695313.00,815433.00,810776.00,810776.00,1089961.00,697852.00,1136950.00,1258518.00,1302243.00,1101106.00,901941.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Retirement plans etc.,190127.00,NaN,NaN,260432.00,NaN,384956.00,358939.00,413489.00,452471.00,530116.00,703297.00,851939.00,744077.00,965832.00,1292058.00,1193245.00,1341535.00,1383748.00,1572606.00,1662421.00,1923056.00,2212520.00,2452054.00,3008573.00,3555224.00,4293150.00,5478146.00,6444065.00,7742624.00,7946658.00,8419160.00,9699587.00,9699587.00,13637545.00,13554208.00,10812565.00,13559083.00,12794565.00,12795586.00,13279878.00,13475978.00,14934684.00,16858777.00,15651350.00,15179541.00,17954041.00,17352399.00,18910159
     Employee benefit programs,285391.00,NaN,NaN,458999.00,NaN,716304.00,514505.00,602220.00,600203.00,871296.00,1019335.00,1187781.00,1267221.00,1747787.00,2329891.00,2642264.00,3049236.00,3329192.00,3599819.00,3786552.00,4313373.00,4967162.00,6073311.00,7813657.00,9323890.00,11152300.00,14413073.00,16654928.00,17864037.00,19178240.00,20050163.00,22870238.00,22870238.00,29958470.00,27788656.00,28667946.00,30139909.00,32453375.00,34742052.00,43493002.00,41003456.00,45534595.00,48486237.00,49852988.00,49173328.00,55395264.00,59114442.00,64598187
     Ordinary loss from other partnerships and fiduciaries,1150079.00,NaN,NaN,1961174.00,NaN,4702654.00,6987649.00,8767376.00,9224949.00,10021495.00,13227029.00,15076648.00,5511410.00,5798786.00,7041412.00,8561592.00,7312918.00,7061442.00,6001422.00,6976737.00,7094207.00,12115195.00,16203396.00,19690053.00,21572769.00,25053841.00,35526353.00,26854498.00,24091002.00,26003075.00,23744327.00,31265506.00,31265506.00,107174089.00,88537709.00,64605827.00,65704048.00,56962081.00,61115616.00,60171596.00,76356647.00,81516396.00,104168518.00,116311859.00,134019405.00,172201231.00,157955998.00,150144409
     Rent net loss,NaN,NaN,NaN,NaN,NaN,NaN,12507395.00,14761087.00,19553817.00,26398850.00,32473197.00,38862999.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Royalty net loss,NaN,NaN,NaN,NaN,NaN,NaN,229221.00,201705.00,117687.00,20427.00,12431.00,37477.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Farm net loss,6816.00,NaN,NaN,14677.00,NaN,13969.00,2398676.00,2515960.00,2211782.00,2669010.00,2895554.00,2607243.00,1675642.00,2259790.00,1748783.00,1849205.00,1854389.00,1348342.00,1704820.00,1930801.00,2296388.00,2106348.00,2110358.00,2706695.00,2669190.00,3159824.00,3438913.00,3999938.00,3722278.00,3792196.00,4260904.00,5738117.00,5738117.00,6009888.00,7389897.00,6349983.00,6419788.00,5715943.00,7893380.00,6595942.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net loss from other partnerships,1150079.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"     Net loss, noncapital assets",120330.00,NaN,NaN,193501.00,NaN,716247.00,568479.00,438252.00,217888.00,389944.00,290604.00,530744.00,1022652.00,403651.00,682103.00,1053321.00,377689.00,589459.00,577622.00,667548.00,705679.00,610676.00,748157.00,853481.00,1167255.00,1748046.00,4530495.00,3576661.00,2254168.00,2201202.00,2992837.00,2841852.00,2841852.00,10645567.00,11937699.00,6804798.00,7398345.00,4142433.00,6154816.00,6031652.00,6485226.00,5514782.00,6058976.00,6817904.00,7210678.00,9487067.00,8728183.00,8724084
     Other deductions,24496517.00,NaN,NaN,47406474.00,NaN,63886500.00,51260982.00,53986241.00,52355781.00,58252033.00,66430129.00,71670832.00,71883520.00,80221966.00,87627699.00,92126318.00,95042416.00,103026051.00,112276793.00,123676375.00,143328531.00,173205878.00,220836909.00,269859625.00,313263035.00,362507941.00,417404132.00,441818861.00,455023911.00,512706488.00,568977626.00,637628843.00,637628843.00,784941709.00,689292319.00,702957790.00,744072138.00,801801859.00,840673544.00,885583881.00,937420431.00,966315795.00,1069592085.00,1110196946.00,1083702513.00,1161969081.00,1361200726.00,1520434162
Net profit (less loss),7737570.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net profit,22431931.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net loss,14694361.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
 Ordinary business income (loss),NaN,NaN,NaN,14446809.00,NaN,8248656.00,-2734897.00,-7314587.00,-2610041.00,-3500024.00,-8883674.00,-17370860.00,19303350.00,33386948.00,29788726.00,25526781.00,25028401.00,38273759.00,51418125.00,56304445.00,60858305.00,89857772.00,92866348.00,88767531.00,107481261.00,119168367.00,114217614.00,126212499.00,154485912.00,206502522.00,308977137.00,357055417.00,357055417.00,110805898.00,137813309.00,254553535.00,255751530.00,392228047.00,387606756.00,440572628.00,379936585.00,354724024.00,358945282.00,376912230.00,292638748.00,316568537.00,661461193.00,847619582
      Net income,NaN,NaN,NaN,33689343.00,NaN,45061756.00,50567190.00,53556856.00,60308114.00,69696922.00,77044693.00,80214873.00,62028990.00,75446656.00,75888759.00,76435760.00,72619843.00,81877970.00,92627139.00,98075024.00,109314199.00,149821093.00,167508411.00,182442611.00,210453491.00,240565978.00,265512155.00,266933632.00,284691823.00,347277588.00,444601621.00,516281778.00,516281778.00,524951632.00,458805359.00,499945046.00,528156205.00,623270776.00,637337054.00,690096548.00,672317946.00,665512286.00,740214518.00,768052696.00,732677071.00,870954595.00,1152241576.00,1336553741
      Loss,NaN,NaN,NaN,19242534.00,NaN,36813101.00,53302086.00,60871442.00,62918155.00,73196946.00,85928367.00,97585733.00,42725640.00,42169708.00,46100033.00,50908979.00,47591442.00,43604210.00,41209013.00,41770579.00,48455894.00,59963321.00,74642063.00,93675080.00,102972230.00,121397612.00,151294542.00,140721133.00,130205911.00,140775066.00,135624484.00,159226360.00,159226360.00,414145735.00,320992050.00,245391511.00,272404676.00,231042728.00,249730298.00,249523921.00,292381361.00,310788263.00,381269235.00,391140466.00,440038323.00,554386058.00,490780383.00,488934159
Capital gains and losses allocable to partners:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
    Net short-term capital gain (less loss),NaN,NaN,NaN,246857.00,NaN,-4528.00,906491741.00,1249482.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
    Net long-term capital gain (less loss),NaN,NaN,NaN,3749996.00,NaN,6386412.00,5546775.00,7060222.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Portfolio income distributed directly to partners:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Portfolio income:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
  Portfolio income (loss) distributed directly to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29662546.00,41900637.00,49217640.00,38635985.00,34070353.00,32062494.00,44314395.00,45105521.00,77342327.00,108149024.00,140336774.00,161897547.00,206713189.00,275827300.00,152983983.00,110667014.00,188901446.00,355581512.00,535267067.00,722426524.00,722426524.00,370840964.00,222071989.00,618879004.00,665684115.00,903348369.00,910672961.00,1076596885.00,995539608.00,850020729.00,1214674616.00,1211350828.00,1154695022.00,1337776818.00,2631754143.00,
     Interest income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13568398.00,19776489.00,20941861.00,20799631.00,19872179.00,15570376.00,16327321.00,19450589.00,31240619.00,33363831.00,40709135.00,51454743.00,61769762.00,82322875.00,84801548.00,70225315.00,70702884.00,87942510.00,133742088.00,193499813.00,193499813.00,245112463.00,178069262.00,182578876.00,170372178.00,166218587.00,156987861.00,153825358.00,155005964.00,181106456.00,203084474.00,240778269.00,261628027.00,237489985.00,232799046.00,335128294
     Dividend income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2310346.00,2849037.00,3239280.00,2827586.00,2872179.00,2516408.00,3042507.00,4448472.00,5392016.00,8844784.00,11729852.00,13710835.00,16704092.00,20921231.00,23420217.00,26271049.00,31279662.00,49289305.00,65013094.00,83897950.00,83897950.00,96314599.00,78934953.00,130843672.00,120294486.00,157907896.00,149196774.00,162729221.00,159450074.00,166780363.00,174554145.00,184802736.00,186839272.00,197343395.00,285284706.00,296286465
     Royalties ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,588096.00,588838.00,767254.00,911554.00,1108967.00,1484627.00,1858988.00,2375149.00,2270245.00,2962937.00,3300635.00,3686819.00,4718816.00,5958686.00,7926721.00,7984177.00,11665867.00,12059130.00,16296768.00,14219959.00,14219959.00,22131102.00,14908744.00,19329352.00,24121426.00,23545929.00,27693086.00,34711302.00,29803275.00,27998219.00,31082457.00,40549478.00,33630926.00,38812965.00,54979643.00,80464397
     Net short-term capital gain (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,414372.00,3413904.00,9689486.00,2403648.00,2877965.00,2162063.00,5170055.00,-1054112.00,4495804.00,8123363.00,12518579.00,1147207.00,18891946.00,13134895.00,-11062075.00,-4764774.00,22681210.00,27837829.00,42563416.00,54613689.00,54613689.00,-125438062.00,64099636.00,73322513.00,17653581.00,59443290.00,90348716.00,66058368.00,5086159.00,17331887.00,90372588.00,-29523435.00,75624458.00,80106047.00,188417925.00,-124775201
     Net long-term capital gain (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12290025.00,14746186.00,14041310.00,10838690.00,6759199.00,9497899.00,16991553.00,19264327.00,32710599.00,53249372.00,70309330.00,90016391.00,102180129.00,147822248.00,45144675.00,9151631.00,49521530.00,178452737.00,277651703.00,376195114.00,376195114.00,132720862.00,-113940605.00,212804591.00,333242445.00,496232666.00,486446524.00,659272636.00,646194135.00,456803804.00,715580952.00,774743781.00,596972339.00,784024424.00,1870272823.00,968284376
     Other portfolio income (less deficit),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,491309.00,526474.00,538450.00,854875.00,593426.00,831120.00,923972.00,621095.00,1233044.00,1604738.00,1769243.00,1881552.00,2448445.00,5667366.00,2752897.00,1799616.00,3050294.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Net rental real estate income (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41746473.00,-43274662.00,-42096327.00,-35164507.00,-28574631.00,-16942212.00,-8397349.00,-2495091.00,4365753.00,7612463.00,17326614.00,26864282.00,36432210.00,35041911.00,42801431.00,39557953.00,30541245.00,28553287.00,18506453.00,15122150.00,15122150.00,-12517724.00,-3663647.00,3960412.00,8212790.00,34099923.00,42943661.00,42841947.00,54409785.00,57012446.00,41740974.00,40492618.00,-8808487.00,-36658977.00,-42260936.00,-66872253
