Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
      Federal and State Government Obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13667028.00,15746202.00,22245841.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Tax-exempt securities,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1976970.00,3704222.00,5228622.00,6501462.00,18721433.00,19627977.00,19983375.00,21061451.00,23306980.00,28122641.00,23148356.00,26282710.00,33497189.00,47407748.00,46846731.00,54270177.00,45092979.00,45092979.00,52863110.00,88748103.00,51105878.00,36599391.00,46928950.00,56401083.00,48250857.00,45364519.00,36788951.00,44752510.00,42341813.00,41510810.00,33657657.00,42715378.00,39480530.00,25848577
Government obligations: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42783670.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       United States and instrumentalities,NaN,NaN,NaN,5974036.00,NaN,13441208.00,24344000.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       State and local,NaN,NaN,NaN,1174738.00,NaN,1346169.00,2629684.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Other current assets,NaN,NaN,NaN,14895523.00,NaN,46575129.00,53983710.00,48487294.00,NaN,NaN,NaN,NaN,NaN,96989881.00,118300619.00,117510203.00,138732750.00,150995078.00,196302585.00,209834317.00,258554045.00,333273684.00,423027007.00,698212296.00,825988164.00,835357482.00,1259500510.00,1354308431.00,1540760763.00,2028065591.00,2957652176.00,2957652176.00,3643002319.00,3141466326.00,2551973943.00,2219920404.00,2382402022.00,2207929564.00,2386425428.00,2465278938.00,2511974003.00,2675640972.00,2762361461.00,2855548669.00,2792928244.00,3241704992.00,3653951953.00,3942624036
        Loans to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49500324.00,69494272.00,73824730.00,94866511.00,115093324.00,137146937.00,147201470.00,129989963.00,101511168.00,172644759.00,196981777.00,229062307
      Mortgage and real estate loans,NaN,NaN,NaN,11477659.00,NaN,23485156.00,28971531.00,32137656.00,NaN,NaN,NaN,NaN,NaN,61413677.00,50921438.00,45769931.00,39771312.00,38464029.00,37429522.00,38306156.00,37381887.00,40960404.00,42842430.00,51286430.00,47926495.00,60382195.00,71183184.00,77220421.00,105845216.00,107160178.00,165839279.00,165839279.00,127405182.00,109137131.00,81703653.00,100375078.00,95100384.00,89930337.00,84019097.00,89098321.00,97901402.00,110474637.00,115341955.00,132486552.00,125842742.00,169153485.00,200720928.00,171101341
      Other investments,NaN,NaN,NaN,31812337.00,NaN,57155338.00,58274944.00,70120737.00,NaN,NaN,NaN,NaN,NaN,150886693.00,189697253.00,199254854.00,280296126.00,327952162.00,447707676.00,517651306.00,745837258.00,1023058296.00,1373216350.00,1582073494.00,1975875436.00,2275321707.00,2884204213.00,2969340381.00,3477856582.00,4316049463.00,7021223598.00,7021223598.00,8893076708.00,7123372146.00,8073679866.00,9057559534.00,9349721463.00,10517957476.00,11970487462.00,13151034753.00,13723024859.00,14311848711.00,16709376635.00,17907554550.00,19986005955.00,24023890930.00,29531354071.00,29859293129
      Buildings and other depreciable assets,NaN,NaN,NaN,219149769.00,NaN,330110060.00,367270152.00,430664015.00,NaN,NaN,NaN,NaN,NaN,933428499.00,1002296389.00,1032723957.00,1075230258.00,1109597775.00,1140428264.00,1181632157.00,1270121637.00,1376611687.00,1544813491.00,1750871004.00,1960773804.00,2189662764.00,2417039254.00,2659690570.00,2761437158.00,2948381100.00,3572315411.00,3572315411.00,3990833845.00,4526448207.00,4554850898.00,4775573906.00,4983712438.00,5313571562.00,5636702733.00,6060241038.00,6513921201.00,6997287084.00,7617420716.00,7944087250.00,7835528465.00,9127954607.00,9633716865.00,10369875732
            Less: Accumulated depreciation,NaN,NaN,NaN,60422032.00,NaN,90970237.00,102429260.00,119817639.00,NaN,NaN,NaN,NaN,NaN,311608789.00,332532823.00,351314177.00,378894808.00,408664245.00,442306350.00,469116271.00,503343604.00,528200362.00,564601996.00,597648505.00,646522376.00,702480746.00,770561813.00,868178729.00,915922515.00,959912624.00,1082192661.00,1082192661.00,1125912938.00,1272889684.00,1374133763.00,1512533614.00,1647115595.00,1743125198.00,1838216058.00,1967698084.00,2091368210.00,2246756528.00,2432309693.00,2564404399.00,2520327202.00,3040272162.00,3159939538.00,3401216734
      Depletable assets,NaN,NaN,NaN,4411376.00,NaN,7974663.00,10597413.00,15809178.00,NaN,NaN,NaN,NaN,NaN,28360075.00,27240020.00,25695829.00,26133917.00,26374352.00,26729112.00,26489677.00,35550034.00,35246433.00,37825356.00,43249827.00,44518863.00,53546562.00,56809127.00,62847340.00,62810645.00,72815224.00,92843826.00,92843826.00,93201386.00,129980778.00,134565534.00,177052752.00,212232528.00,245925143.00,302697788.00,349536576.00,347222594.00,366102090.00,400021507.00,416207378.00,410434853.00,396221241.00,353478982.00,390860457
