Item,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
    Services,"1,093","1,017",785,589,419,476,520,608,780,672,727,728,"1,033","1,883","2,838","3,091","3,654","1,907","1,960","2,503","2,375","2,531","3,410","4,457","5,039","5,079","5,672","6,120","6,651","7,071","7,018","7,621","7,635","8,096","8,422","8,713","9,282","10,723","12,151","12,610","13,678","14,905","15,792","17,282","19,316","22,945","23,730","26,514","29,814","34,840","39,887","45,258","49,944","52,642","55,961","68,791","73,934","82,861","93,945","101,869","106,239","121,657","122,824","122,864","127,212","136,612","145,123","156,518","170,120","184,939","201,251","226,011","227,371","238,872","258,084","296,883","318,732","355,983","392,507","427,472","413,812","442,512","464,349","476,052","472,487","498,132","505,351","520,134","561,688","572,116","599,995","477,298","578,326","717,429","767,287","846,519"
Government consumption expenditures and gross investment,"9,622","10,273","10,169","8,946","8,875","10,721","11,151","13,398","13,119","14,170","15,165","15,562","27,836","65,440","98,023","108,643","96,396","43,027","39,827","43,755","49,808","50,515","73,304","89,583","96,765","92,467","92,958","98,180","107,163","114,138","118,458","120,520","129,237","140,287","147,193","154,763","164,053","185,444","207,018","225,526","238,984","252,581","267,468","286,189","304,765","341,370","381,128","404,153","434,331","476,336","524,802","589,598","654,381","711,473","766,557","827,910","910,516","976,076","1,031,530","1,078,855","1,151,862","1,238,556","1,298,951","1,344,500","1,364,922","1,402,274","1,449,431","1,492,848","1,547,133","1,611,609","1,719,905","1,826,438","1,950,034","2,089,495","2,210,600","2,338,123","2,475,313","2,623,846","2,790,556","2,983,035","3,076,338","3,155,551","3,147,929","3,136,471","3,132,576","3,168,607","3,233,420","3,303,031","3,397,141","3,590,381","3,785,995","3,999,096","4,208,652","4,458,157","4,741,151","5,041,143"
  Federal,"1,907","2,017","2,067","2,006","2,458","3,457","3,569","5,777","5,291","5,915","6,237","6,837","19,109","56,699","89,488","100,086","87,222","31,986","25,736","27,041","30,423","29,418","49,947","64,815","70,274","63,255","61,015","63,115","68,453","71,521","73,579","72,875","77,379","85,518","87,875","90,256","93,196","106,575","120,006","127,963","131,193","132,805","134,478","141,646","146,185","158,835","173,729","184,800","200,339","218,922","240,574","274,870","313,980","348,336","382,357","411,805","452,909","481,658","502,785","511,440","534,104","562,377","582,936","588,453","580,169","574,684","576,682","579,159","583,289","585,515","610,722","633,069","670,212","743,097","826,769","892,123","947,787","1,001,189","1,051,025","1,151,960","1,220,785","1,300,157","1,299,763","1,287,010","1,227,384","1,217,072","1,222,777","1,237,353","1,266,054","1,346,295","1,419,500","1,524,564","1,604,398","1,640,500","1,765,700","1,892,402"
    National defense,"1,056","1,090","1,081","1,051",999,944,"1,174","1,401","1,448","1,513","1,667","2,791","15,368","53,491","86,801","97,272","84,786","27,995","21,072","20,887","22,341","22,649","43,689","57,413","61,134","54,448","52,363","54,958","59,941","62,220","60,945","60,901","64,543","69,701","70,002","69,728","70,583","82,471","95,034","101,357","102,067","100,710","97,995","100,714","102,635","109,894","117,976","124,952","134,408","145,181","160,587","183,405","213,372","245,404","272,055","298,764","329,501","352,359","372,385","382,101","391,228","405,007","414,041","406,465","391,646","382,114","377,159","377,261","371,990","368,753","383,254","392,570","413,162","458,932","521,221","569,878","609,437","640,814","679,264","750,336","787,565","827,971","833,978","814,175","764,319","744,053","730,372","729,434","748,294","795,065","849,506","884,863","909,095","929,596","1,003,971","1,082,721"
    Nondefense,851,926,986,955,"1,459","2,512","2,395","4,376","3,843","4,402","4,570","4,046","3,741","3,207","2,687","2,814","2,435","3,991","4,663","6,154","8,082","6,769","6,258","7,402","9,140","8,807","8,653","8,156","8,513","9,301","12,633","11,974","12,836","15,818","17,873","20,528","22,613","24,104","24,972","26,606","29,126","32,095","36,483","40,932","43,550","48,940","55,753","59,848","65,931","73,741","79,987","91,465","100,608","102,932","110,302","113,041","123,408","129,298","130,400","129,339","142,876","157,370","168,896","181,988","188,523","192,570","199,523","201,898","211,299","216,763","227,468","240,499","257,050","284,164","305,548","322,245","338,350","360,375","371,761","401,625","433,220","472,187","465,785","472,835","463,065","473,019","492,405","507,919","517,761","551,230","569,993","639,700","695,303","710,904","761,729","809,681"
  State and local,"7,714","8,256","8,102","6,940","6,417","7,264","7,582","7,622","7,828","8,256","8,929","8,725","8,727","8,742","8,534","8,558","9,174","11,041","14,091","16,714","19,385","21,097","23,356","24,768","26,490","29,212","31,943","35,065","38,710","42,617","44,879","47,645","51,858","54,768","59,318","64,507","70,858","78,869","87,012","97,563","107,791","119,776","132,990","144,544","158,580","182,536","207,399","219,353","233,992","257,414","284,228","314,728","340,401","363,137","384,200","416,106","457,607","494,418","528,745","567,416","617,758","676,179","716,014","756,047","784,753","827,591","872,749","913,688","963,844","1,026,093","1,109,183","1,193,369","1,279,822","1,346,398","1,383,830","1,446,000","1,527,526","1,622,657","1,739,531","1,831,075","1,855,553","1,855,394","1,848,166","1,849,460","1,905,193","1,951,535","2,010,643","2,065,678","2,131,087","2,244,086","2,366,496","2,474,532","2,604,254","2,817,657","2,975,451","3,148,741"
    Gross domestic income,"103,822","92,606","76,653","59,248","56,636","66,428","74,471","83,648","93,048","86,671","92,148","101,834","128,991","166,859","204,909","221,915","224,176","226,303","246,753","274,719","270,731","298,565","343,468","364,737","385,426","387,641","423,348","451,386","474,395","480,584","521,454","543,690","563,124","603,951","638,918","684,510","741,547","808,333","856,600","937,518","1,016,032","1,067,965","1,155,333","1,271,943","1,419,232","1,537,793","1,671,561","1,852,757","2,062,378","2,328,274","2,582,331","2,813,037","3,169,341","3,335,141","3,577,187","3,996,190","4,284,907","4,499,783","4,811,610","5,233,615","5,573,751","5,867,789","6,065,418","6,404,817","6,703,129","7,147,990","7,547,593","8,016,095","8,567,298","9,119,217","9,660,488","10,346,717","10,698,659","11,010,778","11,480,643","12,245,295","13,096,193","14,025,375","14,461,933","14,578,667","14,286,347","14,979,526","15,624,026","16,407,611","16,910,471","17,749,078","18,387,992","18,752,004","19,544,200","20,593,076","21,482,943","21,254,695","23,687,817","26,055,012","27,485,663","29,001,715"
"Compensation of employees, paid","51,407","47,166","40,070","31,338","29,786","34,552","37,666","43,288","48,309","45,411","48,551","52,746","66,181","88,026","112,714","124,372","126,368","122,525","132,292","144,227","144,276","158,191","185,691","201,086","215,252","214,196","230,641","249,357","262,654","264,742","285,910","301,438","310,566","332,297","350,471","376,029","405,410","449,225","481,760","530,739","584,436","623,324","664,974","731,334","812,696","887,737","947,273","1,048,384","1,165,887","1,316,864","1,477,302","1,622,345","1,792,681","1,893,175","2,012,662","2,216,083","2,387,539","2,543,845","2,723,761","2,948,854","3,140,886","3,342,680","3,453,267","3,671,211","3,820,610","4,010,207","4,202,178","4,421,067","4,713,220","5,075,701","5,409,932","5,854,629","6,046,343","6,143,368","6,362,296","6,729,301","7,077,721","7,491,255","7,889,369","8,068,679","7,767,191","7,932,969","8,234,013","8,575,371","8,843,638","9,259,655","9,709,535","9,977,096","10,434,978","10,967,687","11,458,472","11,605,744","12,569,557","13,462,215","14,228,378","15,049,121"
  Wages and salaries,"50,459","46,213","39,156","30,513","29,026","33,733","36,721","41,953","46,138","43,012","45,983","49,857","62,079","82,088","105,802","116,800","117,557","112,045","123,028","135,464","134,675","147,175","171,593","185,634","198,996","197,320","212,221","229,108","240,029","241,389","259,923","273,010","280,663","299,453","314,914","337,842","363,752","400,297","428,979","471,960","518,311","551,537","584,528","638,786","708,775","772,304","814,881","899,782","994,220","1,120,669","1,253,385","1,373,520","1,511,529","1,587,709","1,677,686","1,845,126","1,982,765","2,104,117","2,257,623","2,440,649","2,584,336","2,743,506","2,817,229","2,968,506","3,082,660","3,240,604","3,422,112","3,620,594","3,881,246","4,186,179","4,465,176","4,832,430","4,961,629","5,004,096","5,146,959","5,430,827","5,702,993","6,068,318","6,407,285","6,545,949","6,257,281","6,380,110","6,634,020","6,936,133","7,122,593","7,485,778","7,869,599","8,102,227","8,485,016","8,910,107","9,337,004","9,472,949","10,326,157","11,141,606","11,753,395","12,409,992"
      To persons,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,"135,440","134,620","147,135","171,484","185,506","198,861","197,130","212,016","228,888","239,810","241,171","259,689","272,696","280,352","299,185","314,673","337,601","363,561","400,116","428,796","471,749","518,096","551,309","584,281","638,503","708,467","771,952","814,481","899,360","993,756","1,120,166","1,252,884","1,372,957","1,510,862","1,586,977","1,676,939","1,844,296","1,981,904","2,101,427","2,255,273","2,438,787","2,582,034","2,740,027","2,813,188","2,963,745","3,077,520","3,234,646","3,415,843","3,614,288","3,874,574","4,179,179","4,453,680","4,820,551","4,949,123","4,991,274","5,133,597","5,416,279","5,686,583","6,051,670","6,391,173","6,528,731","6,243,370","6,366,580","6,620,077","6,921,822","7,107,381","7,469,829","7,852,904","8,084,909","8,468,063","8,892,882","9,318,094","9,458,516","10,307,882","11,115,106","11,724,009","12,379,217"
      To the rest of the world,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,24,55,40,109,128,135,190,205,220,219,218,234,314,311,268,241,241,191,181,183,211,215,228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,"2,690","2,350","1,862","2,302","3,479","4,041","4,761","5,140","5,958","6,269","6,306","6,672","7,000","11,496","11,879","12,507","12,823","13,361","14,547","16,410","16,648","16,113","17,218","13,912","13,530","13,943","14,311","15,212","15,949","16,695","17,317","16,954","17,225","18,910","14,432","18,276","26,500","29,386","30,775"
  Supplements to wages and salaries,948,953,914,825,760,819,945,"1,335","2,171","2,399","2,568","2,889","4,102","5,938","6,912","7,572","8,811","10,480","9,264","8,763","9,601","11,016","14,098","15,452","16,256","16,876","18,420","20,249","22,625","23,353","25,987","28,428","29,903","32,844","35,557","38,187","41,658","48,928","52,781","58,779","66,125","71,787","80,446","92,548","103,921","115,433","132,392","148,602","171,667","196,195","223,917","248,826","281,152","305,465","334,976","370,957","404,774","439,729","466,139","508,205","556,550","599,175","636,038","702,705","737,949","769,603","780,066","800,473","831,974","889,522","944,757","1,022,200","1,084,714","1,139,272","1,215,337","1,298,474","1,374,728","1,422,938","1,482,083","1,522,730","1,509,910","1,552,859","1,599,993","1,639,238","1,721,044","1,773,876","1,839,937","1,874,870","1,949,962","2,057,580","2,121,468","2,132,796","2,243,400","2,320,608","2,474,983","2,639,130"
Taxes on production and imports,"6,824","6,971","6,669","6,570","6,864","7,625","7,990","8,461","8,941","8,932","9,146","9,795","11,054","11,512","12,431","13,711","15,095","16,832","18,106","19,726","20,904","22,950","24,745","27,121","29,101","28,889","31,467","34,237","36,616","37,720","41,052","44,547","46,968","50,382","53,386","57,269","60,709","63,211","67,937","76,407","83,856","91,413","100,493","107,928","117,220","124,902","135,292","146,388","159,664","170,898","180,101","200,330","235,644","240,933","263,281","289,773","308,133","323,373","347,545","374,464","398,867","424,990","457,091","483,375","503,126","545,248","557,903","580,753","611,614","639,473","673,585","708,556","727,690","760,030","805,616","868,098","942,438","997,039","1,036,829","1,049,740","1,026,817","1,063,073","1,103,723","1,136,114","1,185,823","1,237,712","1,273,454","1,309,126","1,363,971","1,457,094","1,533,632","1,521,265","1,700,086","1,834,472","1,861,013","1,954,685"
Less: Subsidies\1\,46,73,145,117,166,467,598,289,347,479,796,748,456,520,583,"1,041","1,144","1,359",398,540,498,843,"1,048",774,514,327,201,742,"1,132","1,368","1,058","1,146","2,014","2,273","2,234","2,729","3,007","3,949","3,811","4,174","4,534","4,777","4,675","6,636","5,230","3,307","4,494","5,125","7,100","8,936","8,531","9,800","11,473","15,017","21,304","21,065","21,360","24,895","30,282","29,501","27,428","26,994","27,488","30,088","36,681","32,523","34,812","35,234","33,810","36,368","45,209","45,840","58,710","41,396","49,057","46,386","60,911","51,467","54,584","52,557","58,347","55,808","60,008","58,037","59,720","58,090","57,192","61,748","59,875","63,320","72,956","698,507","626,071","127,995","102,252","94,239"
Net operating surplus,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,"130,107","130,950","136,999","149,448","159,276","171,552","190,427","204,536","207,157","221,189","227,377","221,168","245,616","278,308","315,863","321,568","354,978","402,881","454,097","522,253","559,577","571,731","665,260","679,086","759,925","913,003","970,456","972,164","1,040,201","1,155,301","1,223,169","1,238,581","1,250,156","1,320,074","1,412,576","1,569,450","1,699,943","1,874,202","2,036,948","2,130,673","2,223,244","2,318,144","2,383,827","2,490,794","2,642,691","2,872,444","3,165,894","3,464,382","3,337,568","3,153,837","3,179,409","3,648,901","3,871,930","4,178,614","4,259,127","4,490,116","4,539,256","4,519,421","4,656,172","4,919,011","5,086,280","5,203,344","6,173,457","6,578,945","6,927,802","7,295,448"
  Private enterprises,"35,229","28,327","20,545","13,120","12,140","16,289","20,933","23,387","26,380","22,766","25,141","29,465","40,149","52,932","62,317","63,530","60,749","62,614","67,634","79,979","73,765","84,874","96,355","96,699","98,097","98,903","112,552","114,408","117,340","117,036","129,563","130,483","136,661","149,050","158,462","170,686","189,640","204,148","206,879","220,736","227,214","222,202","247,131","279,244","317,821","324,014","359,047","405,267","457,055","524,631","562,276","576,212","669,977","682,503","761,809","913,870","968,585","969,623","1,037,453","1,149,745","1,215,911","1,234,853","1,241,938","1,309,630","1,401,145","1,556,794","1,683,436","1,856,448","2,018,869","2,113,799","2,206,415","2,306,690","2,378,169","2,483,221","2,637,571","2,872,089","3,169,343","3,470,287","3,350,439","3,170,564","3,193,964","3,667,447","3,889,771","4,192,260","4,272,770","4,498,591","4,542,103","4,521,575","4,660,424","4,923,603","5,098,420","5,206,406","6,184,389","6,594,957","6,974,720","7,342,908"
"    Net interest and miscellaneous payments, domestic industries","4,038","4,256","4,298","4,086","3,673","3,807","3,880","3,651","3,589","3,571","3,602","3,327","3,256","3,181","2,898","2,486","2,347","1,800","2,272","2,378","2,657","2,968","3,429","3,868","4,403","5,172","5,745","6,445","7,630","9,043","9,205","10,146","11,734","13,380","14,382","16,480","18,574","21,320","24,340","26,515","33,241","40,236","44,449","48,975","57,951","73,598","85,253","87,058","101,945","116,037","139,387","184,013","233,387","272,993","286,596","331,112","352,289","374,824","378,296","409,716","463,404","471,110","438,039","400,982","389,907","389,644","408,671","415,889","455,479","511,833","518,843","603,736","627,100","550,295","518,771","459,037","574,129","702,095","813,507","851,777","706,240","610,260","574,894","609,967","552,747","586,693","661,192","666,724","720,494","756,397","754,522","751,128","698,044","688,984","647,380","611,088"
    Business current transfer payments (net),511,467,538,579,515,502,506,533,524,410,435,451,527,545,642,812,891,692,715,707,688,824,"1,159","1,199","1,153",916,"1,298","1,651","1,823","1,704","1,656","1,744","1,899","2,119","2,527","3,005","3,485","3,390","3,628","4,182","4,799","4,356","4,158","4,779","5,741","6,787","9,036","9,136","8,081","10,375","12,753","13,998","16,914","19,318","21,681","29,159","34,060","35,961","33,292","32,755","38,266","39,178","38,890","39,720","39,388","40,714","44,967","52,645","50,061","64,078","67,684","85,173","99,226","80,755","76,048","81,963","90,641","79,818","97,247","112,781","125,118","126,327","130,122","95,532","107,299","135,474","153,909","162,512","142,925","155,811","161,396","146,079","193,174","252,829","238,648","286,430"
    Proprietors' income with inventory valuation and capital consumption adjustments,"14,015","10,872","8,315","5,012","5,268","7,007","10,124","10,393","12,521","10,598","11,120","12,234","16,650","23,341","28,225","29,346","30,824","35,671","34,579","39,279","34,690","37,514","42,594","43,040","42,017","42,255","44,272","45,819","47,785","50,158","50,346","50,587","53,199","55,234","56,398","59,132","63,662","67,933","69,475","73,832","77,005","77,803","83,904","95,094","112,521","112,213","118,238","130,974","144,492","165,974","179,438","171,569","179,680","171,191","186,250","228,247","241,051","256,479","286,468","325,524","341,130","353,154","354,162","400,155","427,984","456,644","481,186","543,784","583,958","640,276","696,352","753,559","831,057","870,133","897,509","962,895","979,140","1,050,869","995,398","960,304","938,126","1,108,503","1,228,337","1,299,922","1,351,739","1,369,965","1,347,722","1,349,214","1,428,634","1,495,331","1,555,775","1,599,507","1,818,662","1,868,919","1,941,958","2,023,080"
    Rental income of persons with capital consumption adjustment,"6,065","5,371","4,440","3,599","2,858","2,516","2,564","2,684","2,966","3,480","3,716","3,847","4,415","5,454","6,024","6,337","6,578","6,899","6,889","7,484","7,798","8,779","9,720","10,816","12,028","13,061","13,423","13,668","14,054","14,798","15,559","16,463","17,200","18,046","18,728","18,831","19,336","19,910","20,345","20,096","20,348","20,664","21,828","22,719","23,117","23,181","22,292","20,308","15,867","16,545","16,093","18,978","23,780","23,833","24,435","24,652","26,204","18,268","16,594","22,492","21,524","28,168","38,577","60,573","90,079","113,667","124,882","142,528","147,059","165,206","178,497","183,476","202,403","208,448","227,098","242,781","221,105","181,120","186,259","290,275","347,592","433,671","506,541","534,468","578,687","598,502","601,351","618,723","642,028","671,488","688,432","743,428","776,719","871,106","1,002,484","1,078,149"
"    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","10,601","7,361","2,955",-156,-173,"2,457","3,859","6,126","6,780","4,707","6,268","9,606","15,302","20,411","24,528","24,549","20,110","17,552","23,178","30,132","27,933","34,790","39,454","37,777","38,496","37,498","47,814","46,825","46,048","41,334","52,796","51,543","52,629","60,271","66,427","73,239","84,583","91,594","89,091","96,111","91,821","79,144","92,792","107,678","118,492","108,236","124,228","157,790","186,670","215,700","214,605","187,655","216,215","195,169","242,847","300,699","314,980","284,091","322,803","359,258","351,587","343,243","372,271","408,200","453,787","556,125","623,730","701,602","782,312","732,405","745,039","680,747","618,384","773,589","918,145","1,125,412","1,304,329","1,456,385","1,258,028","955,428","1,076,888","1,388,685","1,449,878","1,652,370","1,682,298","1,807,956","1,777,928","1,724,401","1,726,343","1,844,577","1,938,296","1,966,263","2,697,790","2,913,118","3,144,250","3,344,161"
      Taxes on corporate income,"1,365",842,498,383,521,744,951,"1,409","1,502","1,029","1,441","2,834","7,610","11,415","14,074","12,949","10,689","9,104","11,193","12,254","10,010","17,728","22,304","19,107","19,944","17,348","21,789","21,591","20,880","18,440","22,816","21,885","22,203","23,296","25,491","26,573","29,768","32,232","30,992","37,164","36,958","31,263","34,808","39,110","45,632","47,235","46,264","59,418","68,504","77,852","80,737","75,484","70,315","51,294","66,419","81,477","81,610","91,871","112,702","124,266","124,422","121,816","117,813","131,914","155,047","172,671","194,449","211,386","224,762","221,805","227,386","233,448","170,148","160,674","213,763","278,512","379,749","430,147","391,782","255,918","203,933","272,267","280,763","334,589","362,418","406,890","396,125","376,034","297,156","297,423","297,195","311,059","468,876","600,568","613,010","680,341"
      Profits after tax with inventory valuation and capital consumption adjustments,"9,236","6,519","2,457",-539,-694,"1,713","2,908","4,717","5,278","3,678","4,827","6,772","7,692","8,996","10,454","11,600","9,421","8,448","11,985","17,878","17,923","17,062","17,150","18,670","18,552","20,150","26,025","25,234","25,168","22,894","29,980","29,658","30,426","36,975","40,936","46,666","54,815","59,362","58,099","58,947","54,863","47,881","57,984","68,568","72,860","61,001","77,964","98,372","118,166","137,848","133,868","112,171","145,900","143,875","176,428","219,222","233,370","192,220","210,101","234,992","227,165","221,427","254,458","276,286","298,740","383,454","429,281","490,216","557,550","510,600","517,653","447,299","448,236","612,915","704,381","846,901","924,580","1,026,238","866,246","699,509","872,955","1,116,418","1,169,115","1,317,781","1,319,880","1,401,066","1,381,803","1,348,367","1,429,187","1,547,154","1,641,101","1,655,204","2,228,914","2,312,550","2,531,240","2,663,820"
        Net dividends,"5,573","5,331","4,070","2,580","2,040","2,507","2,685","4,419","4,538","2,918","3,582","3,782","4,200","4,029","4,208","4,324","4,372","5,149","5,707","6,367","6,599","8,051","7,663","7,753","8,094","8,136","9,151","9,869","10,399","10,356","11,619","12,307","12,193","13,155","14,442","16,573","18,171","19,477","20,237","22,631","23,422","23,865","23,694","25,173","27,448","29,004","31,786","35,925","39,627","46,615","50,978","59,251","68,438","72,098","84,246","89,736","99,909","103,192","103,163","113,617","147,709","168,590","177,803","178,473","201,111","220,391","250,774","283,461","312,727","344,361","333,669","383,651","362,060","379,443","422,953","517,519","318,392","637,938","677,861","660,852","516,582","514,546","633,083","765,393","858,891","898,271","965,924","953,732","1,043,492","418,955","937,773","1,167,415","1,544,530","1,644,556","1,741,153","1,880,004"
        Undistributed corporate profits with inventory valuation and capital consumption adjustments,"3,663","1,188","-1,613","-3,119","-2,734",-794,223,298,740,760,"1,245","2,990","3,492","4,967","6,246","7,276","5,049","3,299","6,278","11,511","11,324","9,011","9,487","10,917","10,458","12,014","16,874","15,365","14,769","12,538","18,361","17,351","18,233","23,820","26,494","30,093","36,644","39,885","37,862","36,316","31,441","24,016","34,290","43,395","45,412","31,997","46,178","62,447","78,539","91,233","82,890","52,920","77,462","71,777","92,182","129,486","133,461","89,028","106,938","121,375","79,456","52,837","76,655","97,813","97,629","163,063","178,507","206,755","244,823","166,239","183,984","63,648","86,176","233,472","281,428","329,382","606,188","388,300","188,385","38,657","356,373","601,872","536,032","552,388","460,989","502,795","415,878","394,636","385,695","1,128,198","703,328","487,789","684,384","667,994","790,086","783,816"
  Current surplus of government enterprises\1\,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,545,467,338,398,814,866,788,388,278,453,163,"-1,034","-1,515",-936,"-1,958","-2,446","-4,068","-2,385","-2,958","-2,377","-2,699","-4,481","-4,717","-3,417","-1,884",-867,"1,871","2,541","2,748","5,557","7,258","3,728","8,218","10,444","11,431","12,656","16,507","17,754","18,079","16,874","16,829","11,454","5,658","7,573","5,121",355,"-3,449","-5,905","-12,871","-16,728","-14,556","-18,546","-17,842","-13,646","-13,643","-8,475","-2,847","-2,154","-4,253","-4,592","-12,141","-3,062","-10,931","-16,012","-46,918","-47,460"
Consumption of fixed capital,"10,409","10,217","9,514","8,338","8,012","8,430","8,480","8,801","9,767","10,042","10,103","10,577","12,062","14,911","18,031","21,341","23,107","25,690","29,121","31,326","32,284","33,394","37,726","40,606","43,488","45,981","48,893","54,127","58,919","62,454","65,445","67,901","70,604","74,100","78,018","82,390","88,008","95,311","103,557","113,357","124,896","136,839","148,926","161,011","178,686","206,894","238,510","260,226","289,832","327,196","373,882","428,432","487,231","536,963","562,624","598,394","640,137","685,295","730,385","784,496","838,258","888,532","932,393","960,247","1,003,498","1,055,610","1,122,381","1,175,306","1,239,325","1,309,737","1,398,934","1,511,225","1,599,511","1,657,984","1,719,098","1,821,841","1,971,053","2,124,170","2,252,751","2,358,968","2,371,277","2,390,391","2,474,368","2,575,548","2,681,603","2,819,685","2,922,938","3,008,109","3,148,953","3,312,603","3,477,516","3,622,850","3,870,788","4,307,374","4,570,723","4,796,699"
  Private,"9,411","9,221","8,550","7,465","7,042","7,288","7,324","7,509","8,371","8,580","8,590","8,976","9,950","11,246","11,539","12,038","12,507","14,247","17,735","20,820","22,590","24,334","27,746","29,544","31,344","32,958","34,995","38,811","42,259","44,910","46,819","48,209","49,781","51,795","54,158","57,276","61,568","67,172","73,327","80,603","89,433","98,260","107,635","117,493","131,492","153,159","178,790","196,512","221,127","252,115","290,733","334,977","381,932","420,392","438,788","463,516","496,410","531,572","566,309","607,913","649,619","688,396","721,456","742,886","778,210","822,507","880,728","929,111","987,753","1,052,165","1,132,208","1,231,511","1,311,709","1,361,824","1,411,966","1,497,124","1,622,632","1,751,846","1,852,444","1,931,948","1,928,510","1,933,238","1,997,214","2,081,931","2,176,593","2,301,350","2,397,865","2,475,581","2,599,066","2,737,301","2,879,704","3,005,721","3,211,856","3,578,376","3,800,377","3,992,907"
  Government,998,996,964,873,970,"1,142","1,156","1,293","1,396","1,462","1,513","1,601","2,112","3,665","6,492","9,303","10,600","11,444","11,386","10,505","9,694","9,060","9,979","11,062","12,144","13,022","13,897","15,316","16,660","17,544","18,625","19,693","20,823","22,305","23,860","25,114","26,440","28,139","30,230","32,754","35,463","38,579","41,291","43,517","47,194","53,735","59,720","63,714","68,705","75,081","83,149","93,454","105,299","116,571","123,836","134,879","143,727","153,723","164,076","176,583","188,639","200,135","210,937","217,361","225,288","233,102","241,653","246,195","251,572","257,571","266,725","279,713","287,802","296,160","307,133","324,717","348,421","372,324","400,307","427,020","442,767","457,152","477,154","493,618","505,010","518,335","525,074","532,528","549,888","575,302","597,812","617,129","658,932","728,998","770,345","803,792"
Addendum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Statistical discrepancy,735,-446,737,273,518,373,-231,"1,182",-45,681,"1,289","1,065",318,-907,"-1,825","2,533","3,832","1,231","2,864",-250,"1,743","1,262","3,447","2,604","3,792","2,909","2,130","-2,033",-357,645,200,"-1,309",-915,-29,"-1,467",-50,743,"5,081","3,358","3,133","1,583","5,338","9,517","7,167","6,144","7,450","13,343","20,655","19,448","23,325","45,003","44,270","37,700","8,648","56,850","41,423","54,072","79,848","43,605","2,823","67,828","95,355","92,712","115,510","155,430","139,247","92,156","57,027","10,255","-56,401","-29,316","-95,765","-116,730","-81,670","-24,194","-28,099","-56,997","-209,792","12,294","191,195","191,720","69,445","-24,295","-153,641","-29,787","-140,940","-92,973","52,909","67,902","63,440","57,039","120,586","37,828",-397,"325,854","296,298"
